Status,Title,URL,LocalFile,FileType,Size,LastModified,DownloadResult,Level,Referrer
"∑÷Œˆ","","http://dw1.s81c.com/developerworks/js/artrating/artrating.js","../dw1.s81c.com\developerworks\js\artrating\artrating.js","HTML","5292","Fri, 04 Dec 2009 20:39:01 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/developerworks/js/ajax1.js","../dw1.s81c.com\developerworks\js\ajax1.js","HTML","1859","Thu, 16 Jun 2011 20:29:13 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/developerworks/js/search_counter-maverick.js","../dw1.s81c.com\developerworks\js\search_counter-maverick.js","HTML","4277","Tue, 07 Jun 2011 21:19:22 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/developerworks/js/request_referer_capture-maverick.js","../dw1.s81c.com\developerworks\js\request_referer_capture-maverick.js","HTML","1066","Tue, 07 Jun 2011 21:19:22 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","ËÆæËÆ°‰∏éÂºÄÂèë JAX-WS 2.0 Web ÊúçÂä°","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/authors.html","../www.ibm.com\developerworks\cn\education\webservices\ws-jax\authors.html","HTML","49577","","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","ËÆæËÆ°‰∏éÂºÄÂèë JAX-WS 2.0 Web ÊúçÂä°","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/section2.html","../www.ibm.com\developerworks\cn\education\webservices\ws-jax\section2.html","HTML","50698","","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","IBM developerWorks : Site maintenance","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/comments","../www.ibm.com\developerworks\cn\education\webservices\ws-jax\comments.html","HTML","4341","Tue, 10 May 2011 17:14:07 GMT","200 Document follows","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/developerworks/js/insertcomment.js","../dw1.s81c.com\developerworks\js\insertcomment.js","HTML","8688","Wed, 25 May 2011 20:13:34 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","ËÆæËÆ°‰∏éÂºÄÂèë JAX-WS 2.0 Web ÊúçÂä°","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/section3.html","../www.ibm.com\developerworks\cn\education\webservices\ws-jax\section3.html","HTML","55618","","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","ËÆæËÆ°‰∏éÂºÄÂèë JAX-WS 2.0 Web ÊúçÂä°","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/section4.html","../www.ibm.com\developerworks\cn\education\webservices\ws-jax\section4.html","HTML","63452","","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","ËÆæËÆ°‰∏éÂºÄÂèë JAX-WS 2.0 Web ÊúçÂä°","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/section5.html","../www.ibm.com\developerworks\cn\education\webservices\ws-jax\section5.html","HTML","55200","","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","ËÆæËÆ°‰∏éÂºÄÂèë JAX-WS 2.0 Web ÊúçÂä°","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/section6.html","../www.ibm.com\developerworks\cn\education\webservices\ws-jax\section6.html","HTML","50712","","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","ËÆæËÆ°‰∏éÂºÄÂèë JAX-WS 2.0 Web ÊúçÂä°","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/section7.html","../www.ibm.com\developerworks\cn\education\webservices\ws-jax\section7.html","HTML","50004","","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","ËÆæËÆ°‰∏éÂºÄÂèë JAX-WS 2.0 Web ÊúçÂä°","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/downloads.html","../www.ibm.com\developerworks\cn\education\webservices\ws-jax\downloads.html","HTML","49423","","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","ËÆæËÆ°‰∏éÂºÄÂèë JAX-WS 2.0 Web ÊúçÂä°","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/resources.html","../www.ibm.com\developerworks\cn\education\webservices\ws-jax\resources.html","HTML","54737","","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"¥ÌŒÛ","Industries","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/REPLACE.HTML","../www.ibm.com\developerworks\cn\education\webservices\ws-jax\REPLACE.HTML","HTML","0","","404 Not Found","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/developerworks/js/jquery/cluetip98/jquery.hoverIntent.minified.js","../dw1.s81c.com\developerworks\js\jquery\cluetip98\jquery.hoverIntent.minified.js","HTML","1609","Mon, 16 Jun 2008 20:40:32 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/developerworks/js/jquery/cluetip98/jquery.cluetip.js","../dw1.s81c.com\developerworks\js\jquery\cluetip98\jquery.cluetip.js","HTML","7700","Thu, 10 Jul 2008 13:24:34 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/developerworks/js/jquery/tagging/ui.core-1.7.1.js","../dw1.s81c.com\developerworks\js\jquery\tagging\ui.core-1.7.1.js","HTML","7923","Thu, 03 Sep 2009 18:07:19 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/developerworks/js/jquery/tagging/ui.slider-1.7.1.js","../dw1.s81c.com\developerworks\js\jquery\tagging\ui.slider-1.7.1.js","HTML","8767","Thu, 03 Sep 2009 18:07:20 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/developerworks/js/dw-mf/jquery.tools.min.js","../dw1.s81c.com\developerworks\js\dw-mf\jquery.tools.min.js","HTML","5526","Fri, 03 Jun 2011 16:15:56 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/developerworks/js/dw-mf/jquery.jscroll.js","../dw1.s81c.com\developerworks\js\dw-mf\jquery.jscroll.js","HTML","8648","Tue, 08 Feb 2011 17:32:27 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/developerworks/js/dw-mf/dw_v16.js","../dw1.s81c.com\developerworks\js\dw-mf\dw_v16.js","HTML","3476","Mon, 09 Jan 2012 21:07:51 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/developerworks/js/dw-mf/flash-detect.js","../dw1.s81c.com\developerworks\js\dw-mf\flash-detect.js","HTML","5102","Tue, 08 Feb 2011 17:32:26 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/developerworks/js/dw-mf/dwsi.js","../dw1.s81c.com\developerworks\js\dw-mf\dwsi.js","HTML","9041","Mon, 09 Jan 2012 20:38:03 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/developerworks/js/dw-mf/dwjquerytags.js","../dw1.s81c.com\developerworks\js\dw-mf\dwjquerytags.js","HTML","12839","Fri, 04 Mar 2011 16:56:35 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"∑÷Œˆ","","http://dw1.s81c.com/common/stats/stats.js","../dw1.s81c.com\common\stats\stats.js","HTML","18435","Wed, 10 Aug 2011 14:40:42 GMT","200 OK","1","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/index.html"
"±£¥Ê","","http://dw1.s81c.com/developerworks/js/jquery/cluetip98/wait.gif","../dw1.s81c.com\developerworks\js\jquery\cluetip98\wait.gif","Images","432","Thu, 10 Jul 2008 13:24:34 GMT","200 OK","2","http://dw1.s81c.com/developerworks/js/jquery/cluetip98/jquery.cluetip.css"
"±£¥Ê","","http://dw1.s81c.com/developerworks/js/jquery/cluetip98/i/darrowleft.gif","../dw1.s81c.com\developerworks\js\jquery\cluetip98\i\darrowleft.gif","Images","76","Mon, 16 Jun 2008 20:40:02 GMT","200 OK","2","http://dw1.s81c.com/developerworks/js/jquery/cluetip98/jquery.cluetip.css"
"±£¥Ê","","http://dw1.s81c.com/developerworks/js/jquery/cluetip98/i/darrowright.gif","../dw1.s81c.com\developerworks\js\jquery\cluetip98\i\darrowright.gif","Images","77","Mon, 16 Jun 2008 20:40:02 GMT","200 OK","2","http://dw1.s81c.com/developerworks/js/jquery/cluetip98/jquery.cluetip.css"
"±£¥Ê","","http://dw1.s81c.com/developerworks/js/jquery/cluetip98/i/darrowdown.gif","../dw1.s81c.com\developerworks\js\jquery\cluetip98\i\darrowdown.gif","Images","69","Mon, 16 Jun 2008 20:40:01 GMT","200 OK","2","http://dw1.s81c.com/developerworks/js/jquery/cluetip98/jquery.cluetip.css"
"±£¥Ê","","http://dw1.s81c.com/developerworks/js/jquery/cluetip98/i/darrowup.gif","../dw1.s81c.com\developerworks\js\jquery\cluetip98\i\darrowup.gif","Images","69","Mon, 16 Jun 2008 20:40:03 GMT","200 OK","2","http://dw1.s81c.com/developerworks/js/jquery/cluetip98/jquery.cluetip.css"
"∑÷Œˆ","","http://dw1.s81c.com/common/v16/css/zz/en/screen-fonts.css","../dw1.s81c.com\common\v16\css\zz\en\screen-fonts.css","HTML","16998","Mon, 15 Nov 2010 06:55:22 GMT","200 OK","2","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/comments"
"∑÷Œˆ","","http://www.ibm.com/developerworks/maintenance/dw-mf-maint.css","../www.ibm.com\developerworks\maintenance\dw-mf-maint.css","HTML","41634","Tue, 26 Apr 2011 17:25:12 GMT","200 Document follows","2","http://www.ibm.com/developerworks/cn/education/webservices/ws-jax/comments"
